"directorio","secuencia_p","orden","sex","age","relab","y_total_m","ocu","totalHoursWorked","p6210","sizeFirm","informal","fex_c"
4514511,1,1,0,43,3,882333.4375,1,50,5,1,0,288.474437348191
4514512,1,1,0,43,5,1e+06,1,75,6,2,1,192.719491844515
4514512,1,3,0,37,1,3e+05,1,40,3,2,1,192.719491844515
4514512,1,2,0,24,1,240000,1,30,6,2,1,192.719491844515
4514514,1,2,0,43,1,1080857,1,46,5,4,0,254.121161167727
4514514,1,1,1,43,1,1270333.375,1,48,6,5,0,254.121161167727
4514515,1,1,1,33,1,8e+05,1,50,5,3,1,341.413206745379
4514516,1,2,0,32,1,3075000,1,40,6,5,0,245.92391197836
4514518,1,1,1,52,1,1737140,1,48,5,5,0,205.425424579072
4514518,1,3,0,23,1,1166473.375,1,43,6,4,0,205.425424579072
4514519,1,1,1,35,1,859193.4375,1,72,5,5,0,388.4724156604
4514520,1,1,0,23,1,911333.4375,1,48,5,5,0,247.675019581812
4514521,1,3,0,21,1,8e+05,1,72,6,4,1,189.96588916386
4514538,1,2,0,41,1,1441333.5,1,84,6,4,0,330.763285242449
4514538,1,1,1,54,1,882333.4375,1,48,4,3,0,330.763285242449
4514542,1,4,1,23,1,2166666.75,1,48,6,5,0,227.146289533848
4514542,1,3,1,27,4,4600000,1,48,6,5,0,227.146289533848
4514549,1,1,1,57,1,8e+05,1,40,5,2,1,238.640556816578
4514565,1,1,0,35,4,660000,1,60,6,4,0,178.749386557181
4521221,1,1,0,33,1,1e+07,1,32,6,5,0,250.444709462943
4521222,1,2,1,63,3,6e+05,1,40,5,1,1,131.653021505745
4521223,1,1,1,41,1,1.6e+07,1,48,6,5,0,303.383478860131
4521223,1,2,0,38,1,8750000,1,48,6,5,0,303.383478860131
4521225,1,3,1,28,4,3500000,1,40,6,5,0,238.362792140527
4521226,1,2,1,45,4,2163000,1,45,5,5,0,258.629844712917
4521228,1,1,0,49,3,9e+05,1,48,4,1,1,386.43249162925
4521229,1,1,1,54,1,2200000,1,48,6,5,0,254.409977595425
4521229,1,3,1,27,1,1383140,1,50,6,4,0,254.409977595425
4521231,1,1,1,47,1,737717,1,48,3,4,0,156.163106886668
4521231,1,3,0,24,1,1150000,1,48,6,4,0,156.163106886668
4521232,1,2,1,62,1,9e+05,1,48,3,5,0,238.362792140527
4521232,1,3,1,44,1,1120000,1,60,5,4,0,238.362792140527
4521233,1,2,1,42,1,2708333.25,1,48,6,5,0,258.629844712917
4521234,1,1,1,63,1,882333.4375,1,48,3,5,0,225.65685940597
4521234,1,3,0,33,1,1166473.375,1,48,6,4,0,225.65685940597
4521236,1,1,1,34,4,6500000,1,40,6,4,0,429.27183342678
4521237,1,1,0,50,1,804383.6875,1,48,4,4,0,290.677546125573
4521237,1,2,0,30,1,1083333.375,1,48,6,4,0,290.677546125573
4521239,1,1,1,40,1,1207423.625,1,48,5,5,0,254.121161167727
4521239,1,2,0,34,1,671373.3125,1,25,4,2,0,254.121161167727
4521242,1,1,0,46,4,6e+05,1,40,4,1,1,249.878128359194
4521243,1,1,1,23,1,920000,1,48,5,2,1,285.720834667537
4521243,1,2,0,23,1,882333.4375,1,55,6,5,0,285.720834667537
4521245,1,1,0,54,4,3e+05,1,54,4,1,1,241.981809536919
4521245,1,2,0,37,4,4e+05,1,48,5,1,1,241.981809536919
4521246,1,1,1,47,4,9e+05,1,77,3,3,1,281.500967550045
4521246,1,2,0,45,3,2e+05,1,55,4,1,1,281.500967550045
4521246,1,3,0,18,1,5e+05,1,56,4,2,1,281.500967550045
4521246,1,4,1,23,4,1e+06,1,66,4,1,1,281.500967550045
4521247,1,1,1,37,4,1e+06,1,70,4,1,1,341.979787849128
4521248,1,1,1,40,4,7e+06,1,60,6,4,0,333.516887923103
4521248,1,2,0,37,1,9183334,1,51,6,5,0,333.516887923103
4521248,1,4,0,41,1,975000,1,48,5,5,0,333.516887923103
4521250,1,1,0,33,5,1200000,1,60,6,2,1,329.273855114571
4521250,1,2,0,26,1,1462500,1,48,5,4,0,329.273855114571
4521252,1,1,1,29,1,2845666.5,1,48,6,5,0,303.383478860131
4521252,1,2,0,28,1,1279000,1,48,6,3,0,303.383478860131
4521253,1,1,0,52,4,7e+05,1,42,3,1,1,313.249835350714
4521253,1,3,1,30,1,1549806.625,1,42,5,2,1,313.249835350714
4521253,1,4,0,28,4,1100000,1,38,6,5,1,313.249835350714
4521254,1,1,0,36,4,480000,1,30,3,1,1,151.508864186645
4521254,1,5,1,37,4,450000,1,54,1,1,1,151.508864186645
4521255,1,2,0,55,4,536000,1,24,3,1,1,189.100474448123
4521255,1,3,1,28,1,912523.6875,1,48,5,5,0,189.100474448123
4521255,1,4,0,22,1,882523.6875,1,48,5,2,0,189.100474448123
4521256,1,1,1,25,1,1244473.375,1,48,6,5,0,388.4724156604
4521256,1,2,0,23,1,7e+05,1,48,6,2,1,388.4724156604
4521257,1,1,1,59,2,10008333,1,40,6,5,0,160.370521949709
4521257,1,3,1,25,1,1600000,1,48,6,5,0,160.370521949709
4521258,1,2,0,54,2,7786666.5,1,48,6,5,0,230.177656890553
4521259,1,1,1,67,5,1800000,1,60,4,2,1,317.469702468205
4521259,1,2,0,36,1,1653000,1,48,6,5,0,317.469702468205
4521261,1,1,0,48,1,764383.6875,1,48,6,4,0,250.444709462943
4521264,1,1,1,55,4,1300000,1,50,5,2,1,162.725366793324
4521264,1,2,0,50,4,1e+06,1,50,5,2,1,162.725366793324
4521264,1,3,1,28,4,8e+05,1,40,6,5,0,162.725366793324
4521264,1,4,1,24,4,1200000,1,48,6,5,0,162.725366793324
4521264,1,5,1,21,4,1200000,1,45,6,1,1,162.725366793324
4521265,1,1,0,60,1,882523.6875,1,48,4,5,0,242.60582494906
4521266,1,1,1,50,2,4500000,1,70,6,5,0,243.471239664797
4521266,1,2,0,48,1,8e+06,1,56,6,5,0,243.471239664797
4521267,1,1,1,54,1,1300000,1,48,5,5,0,371.546615808351
4521268,1,1,1,39,1,5e+06,1,48,6,5,0,390.675524437783
4521268,1,2,0,36,1,3250000,1,48,6,5,0,390.675524437783
4521269,1,1,1,38,1,3033333.25,1,45,6,5,0,254.687742271476
4521269,1,2,0,32,1,3033333.25,1,40,6,5,0,254.687742271476
4521270,1,1,0,59,1,9e+05,1,48,3,3,1,245.92391197836
4521270,1,2,0,29,4,3e+05,1,10,6,3,1,245.92391197836
4521271,1,2,1,56,1,1050000,1,48,5,5,0,213.852706759605
4521271,1,3,0,61,4,48000,1,24,6,1,0,213.852706759605
4521272,1,1,0,57,1,1600000,1,48,5,5,0,196.661594285956
4521272,1,3,0,23,1,1333140,1,48,6,4,0,196.661594285956
4521274,1,2,1,62,4,4e+05,1,40,6,1,0,225.65685940597
4521275,1,1,0,31,1,857193.4375,1,70,5,4,1,189.949801963383
4521275,2,1,0,21,1,737717,1,70,5,3,1,189.949801963383
4521276,1,3,1,60,4,4e+06,1,72,4,1,1,274.074831318574
4521276,1,4,0,35,1,829217,1,60,6,5,0,274.074831318574
4521277,1,4,1,75,4,2e+06,1,48,6,1,1,209.331909275021
4521278,1,1,1,37,2,3595500,1,45,6,5,0,292.717470156724
4521278,1,2,0,40,1,1700000,1,44,6,4,1,292.717470156724
4521279,1,1,1,35,1,812500,1,65,5,2,1,133.73010167331
4521281,1,1,1,45,1,1200000,1,48,4,4,0,297.113777422412
4521281,1,2,0,45,1,8e+05,1,48,4,5,0,297.113777422412
4521281,1,4,1,19,1,3e+05,1,20,6,4,1,297.113777422412
4521283,1,2,1,49,4,1700000,1,28,6,1,1,209.65390857805
4521283,1,3,0,40,1,820857,1,40,6,3,0,209.65390857805
4521283,1,5,0,37,4,5e+05,1,42,6,1,1,209.65390857805
4521284,1,1,1,47,1,1023140,1,48,5,5,0,418.055330820101
4521284,1,2,0,43,4,1800000,1,48,5,1,0,418.055330820101
4521287,1,1,0,48,1,750000,1,40,4,2,1,232.254737058118
4521288,1,1,0,56,4,9e+05,1,35,4,1,1,328.695160071428
4521288,1,2,0,35,1,2708333.25,1,48,6,5,0,328.695160071428
4521289,1,2,1,38,2,1450000,1,56,5,5,0,258.629844712917
4521291,1,3,1,53,2,3924166.75,1,40,6,5,0,254.109047228334
4521292,1,4,1,56,4,3e+06,1,48,6,1,0,188.787092026581
4521292,1,5,1,56,4,1500000,1,48,5,1,1,188.787092026581
4521292,1,7,0,58,3,737717,1,48,3,1,0,188.787092026581
4521293,1,2,1,66,1,803140,1,48,3,2,0,173.640939032911
4521294,1,1,1,50,1,8e+06,1,55,6,5,0,194.208921972393
4521294,1,2,0,51,2,2925000,1,48,6,5,0,194.208921972393
4521296,1,3,1,20,4,1e+06,1,32,5,1,1,218.961154283874
4521297,1,1,1,62,1,40000,1,18,5,2,1,225.090278302221
4521297,1,2,0,57,3,144000,1,18,4,1,1,225.090278302221
4521297,1,3,0,28,1,440000,1,16,5,2,1,225.090278302221
4521298,1,1,1,54,4,2500000,1,48,4,1,1,382.212624511758
4521298,1,3,0,32,2,3216666.75,1,48,6,5,0,382.212624511758
4521300,1,1,1,26,1,1e+06,1,54,5,2,1,243.471239664797
4521300,1,2,0,36,3,820857,1,45,3,1,0,243.471239664797
4521301,1,1,0,64,4,60000,1,84,3,2,1,189.100474448123
4521301,1,2,1,37,1,820857,1,48,5,4,0,189.100474448123
4521301,1,4,1,58,4,60000,1,30,3,2,1,189.100474448123
4521302,1,1,1,25,1,1e+06,1,50,3,5,1,262.584061093751
4521303,1,2,0,28,1,3e+05,1,15,6,4,1,292.717470156724
4521304,1,1,1,50,4,1200000,1,40,4,1,1,254.687742271476
4521307,1,1,0,55,4,8e+05,1,48,4,1,1,209.367527020513
4521307,1,2,1,27,1,8e+05,1,48,6,4,0,209.367527020513
4521307,1,3,0,19,1,737717,1,48,6,5,1,209.367527020513
4521308,1,2,0,37,1,800217,1,48,5,2,0,328.695160071428
4521309,1,1,1,23,1,1200000,1,48,5,5,0,247.124525678539
4521310,1,2,0,48,1,820857,1,48,4,5,0,169.69883659147
4521311,1,2,0,47,1,882333.4375,1,48,5,5,0,196.661594285956
4521312,1,1,1,33,1,6e+05,1,48,5,3,1,394.918557246316
4521312,1,2,0,33,1,5e+05,1,48,5,3,1,394.918557246316
4521312,1,5,1,47,1,650000,1,48,4,2,1,394.918557246316
4521313,1,1,0,54,3,729000,1,40,3,1,0,239.228206856264
4521314,1,1,1,22,4,9e+05,1,40,5,1,1,334.416571256192
4521315,1,1,1,35,1,1183140,1,48,5,4,0,285.744000358578
4521315,1,3,1,31,1,820857,1,48,4,4,0,285.744000358578
4521316,1,2,1,32,1,1112140,1,48,6,2,0,303.383478860131
4521317,1,2,0,57,4,2500000,1,20,6,1,1,238.362792140527
4521317,1,3,1,30,1,1400000,1,40,6,2,0,238.362792140527
4521319,1,1,1,47,4,350000,1,35,5,1,1,258.629844712917
4521320,1,1,1,45,4,6e+05,1,30,5,1,1,263.1506421975
4521321,1,1,1,52,5,1e+06,1,48,6,2,1,156.163106886668
4521321,1,2,0,41,1,779000,1,48,5,2,1,156.163106886668
4521322,1,1,0,34,1,720000,1,48,4,2,0,249.878128359194
4521323,1,3,1,23,4,4e+05,1,20,6,1,1,231.667087018432
4521324,1,1,1,32,1,820857,1,48,5,2,0,301.180370082748
4521325,1,1,1,32,1,2106473.25,1,72,6,5,0,254.687742271476
4521325,1,2,0,28,1,827523.6875,1,40,6,5,0,254.687742271476
4521326,1,1,1,35,1,1375140,1,48,5,5,0,352.079215448786
4521326,1,2,0,34,3,480000,1,27,3,1,1,352.079215448786
4521327,1,1,1,27,1,882333.4375,1,36,6,5,0,254.687742271476
4521327,1,2,0,30,2,2812500,1,30,6,5,0,254.687742271476
4521328,1,1,1,47,1,2656000,1,50,6,5,0,352.079215448786
4521328,1,2,0,39,4,2e+06,1,40,6,1,1,352.079215448786
4521330,1,1,1,46,4,2e+06,1,48,4,1,1,254.121161167727
4521330,1,2,0,36,4,550000,1,48,5,1,1,254.121161167727
4521331,1,1,0,61,1,3e+05,1,40,3,2,1,186.934521807155
